,uid,method,c,epsilon,meanql
264,36,OPT-SEM-IND,12,0.6000000000000001,0.17580562563264898
265,36,ESSA,12,0.6000000000000001,0.40819245106758073
266,38,OPT-SEM-IND,12,0.6000000000000001,0.17161449448282903
267,38,ESSA,12,0.6000000000000001,0.3368511540846994
268,43,OPT-SEM-IND,12,0.6000000000000001,0.11992994984773586
269,43,ESSA,12,0.6000000000000001,0.396472422554847
270,44,OPT-SEM-IND,12,0.6000000000000001,0.05785402962253498
271,44,ESSA,12,0.6000000000000001,0.40480014570996126
272,52,OPT-SEM-IND,12,0.6000000000000001,0.14824114117159326
273,52,ESSA,12,0.6000000000000001,0.5534825644220147
274,62,OPT-SEM-IND,12,0.6000000000000001,0.18542687977378558
275,62,ESSA,12,0.6000000000000001,0.5584488255097205
276,65,OPT-SEM-IND,12,0.6000000000000001,0.2001856877127576
277,65,ESSA,12,0.6000000000000001,0.39858025078206494
278,67,OPT-SEM-IND,12,0.6000000000000001,0.09351402857675484
279,67,ESSA,12,0.6000000000000001,0.35779290078446335
280,71,OPT-SEM-IND,12,0.6000000000000001,0.05144927193813739
281,71,ESSA,12,0.6000000000000001,0.33751262972414137
282,84,OPT-SEM-IND,12,0.6000000000000001,0.13209818028889111
283,84,ESSA,12,0.6000000000000001,0.37106747052510886
284,85,OPT-SEM-IND,12,0.6000000000000001,0.11063286821637933
285,85,ESSA,12,0.6000000000000001,0.3519083365563954
286,128,OPT-SEM-IND,12,0.6000000000000001,0.1492011277784779
287,128,ESSA,12,0.6000000000000001,0.41507699277435006
288,4,OPT-SEM-IND,12,1.0000000000000002,0.19957657710003396
289,4,ESSA,12,1.0000000000000002,0.3972267149670115
290,7,OPT-SEM-IND,12,1.0000000000000002,0.13452227706659692
291,7,ESSA,12,1.0000000000000002,0.4205012153838437
292,14,OPT-SEM-IND,12,1.0000000000000002,0.11906076888530914
293,14,ESSA,12,1.0000000000000002,0.38440183334321115
294,22,OPT-SEM-IND,12,1.0000000000000002,0.05941672525019696
295,22,ESSA,12,1.0000000000000002,0.4078576847499363
296,25,OPT-SEM-IND,12,1.0000000000000002,0.16668877463330303
297,25,ESSA,12,1.0000000000000002,0.5290405111831588
298,35,OPT-SEM-IND,12,1.0000000000000002,0.14235483338764712
299,35,ESSA,12,1.0000000000000002,0.36618609623742243
300,36,OPT-SEM-IND,12,1.0000000000000002,0.16329164892881187
