,uid,method,ndim,mean_ql
223,3480,USS,3,1.1622173873642558
224,3480,ESSA,3,0.8306248280262252
225,4584,PL,3,1.1771302508433814
226,4584,OPT-LOC-DP,3,0.6927806667901354
227,4584,OPT-SEM-IND,3,0.4290788720911131
228,4584,USS,3,1.1606563796150393
229,4584,ESSA,3,0.7985503527850772
230,4907,PL,3,1.316733949950561
231,4907,OPT-LOC-DP,3,0.9411208862047289
232,4907,OPT-SEM-IND,3,0.5079076608707906
233,4907,USS,3,1.3743116181898944
234,4907,ESSA,3,0.843428349129868
235,4985,PL,3,1.2426049706231062
236,4985,OPT-LOC-DP,3,0.6643748369029769
237,4985,OPT-SEM-IND,3,0.43242854343444764
238,4985,USS,3,1.2615329436454588
239,4985,ESSA,3,0.8103201433462667
240,6798,PL,3,1.2349562260442764
241,6798,OPT-LOC-DP,3,0.9975851203453491
242,6798,OPT-SEM-IND,3,0.4923627856971313
243,6798,USS,3,1.3113584609380329
244,6798,ESSA,3,0.8428092996484796
245,10492,PL,3,1.2519119282604791
246,10492,OPT-LOC-DP,3,0.925955482885922
247,10492,OPT-SEM-IND,3,0.48304310102598674
248,10492,USS,3,1.2770335807879383
249,10492,ESSA,3,0.8050592292656447
250,15584,PL,3,1.1756402388587452
251,15584,OPT-LOC-DP,3,0.4166883888610171
252,15584,OPT-SEM-IND,3,0.361554768804114
253,15584,USS,3,1.0649881822325973
254,15584,ESSA,3,0.7676734066802593
255,26352,PL,3,1.2121382354370416
256,26352,OPT-LOC-DP,3,0.9343239207272179
257,26352,OPT-SEM-IND,3,0.46951410475085253
258,26352,USS,3,1.1874168433795256
259,26352,ESSA,3,0.7867437515964846
260,31486,PL,3,1.2819673831110947
261,31486,OPT-LOC-DP,3,1.0153354859269472
262,31486,OPT-SEM-IND,3,0.49412048718845564
263,31486,USS,3,1.2353525887178463
264,31486,ESSA,3,0.8125930223186354
265,36273,PL,3,1.2246630430213366
266,36273,OPT-LOC-DP,3,0.9883531410511717
267,36273,OPT-SEM-IND,3,0.4965815052658732
268,36273,USS,3,1.2181303499266913
269,36273,ESSA,3,0.8150410579418189
270,44524,PL,3,1.3267537679485084
271,44524,OPT-LOC-DP,3,0.2161429015647503
272,44524,OPT-SEM-IND,3,0.19465497139118282
273,44524,USS,3,1.4603241225125294
274,44524,ESSA,3,0.8387588523838151
275,52943,PL,3,1.2087156579064169
276,52943,OPT-LOC-DP,3,0.4996991982937218
277,52943,OPT-SEM-IND,3,0.37075895094019967
278,52943,USS,3,1.2306093547888761
279,52943,ESSA,3,0.7925311877059584
280,79128,PL,3,1.2266242902107674
281,79128,OPT-LOC-DP,3,0.743741858006292
282,79128,OPT-SEM-IND,3,0.45738955760695615
283,79128,USS,3,1.222660019500007
284,79128,ESSA,3,0.793641187204092
285,104357,PL,3,1.2095394066649565
286,104357,OPT-LOC-DP,3,0.8508367196959014
287,104357,OPT-SEM-IND,3,0.46814634437356817
288,104357,USS,3,1.154333223524269
289,104357,ESSA,3,0.8078648629456945
290,122586,PL,3,1.182802340326589
291,122586,OPT-LOC-DP,3,0.7572755632649968
292,122586,OPT-SEM-IND,3,0.37818210879909947
293,122586,USS,3,1.2226240364943088
294,122586,ESSA,3,0.800469343697091
295,153607,PL,3,1.2458750091796118
296,153607,OPT-LOC-DP,3,0.6062573993936285
297,153607,OPT-SEM-IND,3,0.45561886364230986
298,153607,USS,3,1.2606242548503732
299,153607,ESSA,3,0.8348382914192826
300,22,PL,4,1.2423561496143065
301,22,OPT-LOC-DP,4,1.024905547054325
302,22,OPT-SEM-IND,4,0.5483836073124091
303,22,USS,4,1.6270199758231916
304,22,ESSA,4,0.8658343777517893
305,590,PL,4,1.16546853675879
306,590,OPT-LOC-DP,4,0.576999073547336
307,590,OPT-SEM-IND,4,0.39745318018858844
308,590,USS,4,1.3999632122656065
309,590,ESSA,4,0.8526861054191645
310,1255,PL,4,1.218695465477924
311,1255,OPT-LOC-DP,4,0.9253067246040669
